deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id
JBC,OTN-Global,JBC-NEWMAN SOUND 1-VR2-5957-3,OTN-GlobalJBCJBC-NEWMAN SOUND 1-VR2-5957-3,VEMCO,VR2,5957,48.61655,-53.71583,2007-06-01T16:25:00Z,2007-11-07T23:00:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 1
JBC,OTN-Global,JBC-NEWMAN SOUND 1-VR2-5957-5,OTN-GlobalJBCJBC-NEWMAN SOUND 1-VR2-5957-5,VEMCO,VR2,5957,48.60987,-53.70902,2008-06-24T18:45:00Z,2008-11-23T22:25:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 1
JBC,OTN-Global,JBC-NEWMAN SOUND 1-VR2-5957-6,OTN-GlobalJBCJBC-NEWMAN SOUND 1-VR2-5957-6,VEMCO,VR2,5957,48.61643,-53.71527,2008-11-23T22:30:00Z,2009-06-04T14:48:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 1
JBC,OTN-Global,JBC-NEWMAN SOUND 1-VR2-5957-4,OTN-GlobalJBCJBC-NEWMAN SOUND 1-VR2-5957-4,VEMCO,VR2,5957,48.61652,-53.71488,2007-11-07T23:15:00Z,2008-06-24T18:44:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 1
JBC,OTN-Global,JBC-SOUTHERN BAY 2-VR2-5958-1,OTN-GlobalJBCJBC-SOUTHERN BAY 2-VR2-5958-1,VEMCO,VR2,5958,48.4455,-53.59,2005-11-28T01:00:00Z,2006-06-09T15:43:00Z,JBC,ManmadePlatform,JBC_JBC-SOUTHERN BAY 2
JBC,OTN-Global,JBC-SOUTHERN BAY 2-VR2-5958-2,OTN-GlobalJBCJBC-SOUTHERN BAY 2-VR2-5958-2,VEMCO,VR2,5958,48.48408,-53.55598,2006-06-09T15:58:00Z,2007-07-04T18:15:00Z,JBC,ManmadePlatform,JBC_JBC-SOUTHERN BAY 2
JBC,OTN-Global,JBC-SOUTHERN BAY 2-VR2-5958-3,OTN-GlobalJBCJBC-SOUTHERN BAY 2-VR2-5958-3,VEMCO,VR2,5958,48.48498,-53.5552,2007-07-04T18:30:00Z,2007-11-06T22:03:00Z,JBC,ManmadePlatform,JBC_JBC-SOUTHERN BAY 2
JBC,OTN-Global,JBC-SOUTHERN BAY 2-VR2-5958-5,OTN-GlobalJBCJBC-SOUTHERN BAY 2-VR2-5958-5,VEMCO,VR2,5958,48.4925,-53.5528,2008-06-23T18:30:00Z,2008-11-19T20:56:00Z,JBC,ManmadePlatform,JBC_JBC-SOUTHERN BAY 2
JBC,OTN-Global,JBC-SOUTHERN BAY 2-VR2-5958-4,OTN-GlobalJBCJBC-SOUTHERN BAY 2-VR2-5958-4,VEMCO,VR2,5958,48.48465,-53.5541,2007-11-06T22:18:00Z,2008-06-23T18:29:00Z,JBC,ManmadePlatform,JBC_JBC-SOUTHERN BAY 2
JBC,OTN-Global,JBC-SOUTHERN BAY 1-VR2-5959-1,OTN-GlobalJBCJBC-SOUTHERN BAY 1-VR2-5959-1,VEMCO,VR2,5959,48.47017,-53.55633,2005-11-28T02:15:00Z,2006-06-09T14:55:00Z,JBC,ManmadePlatform,JBC_JBC-SOUTHERN BAY 1
